week,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,wuhan bsl-4 lab
2020-01-08 2020-01-15,Oregon,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Pennsylvania,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Rhode Island,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Carolina,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Dakota,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Tennessee,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Texas,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Utah,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Vermont,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Virginia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Washington,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,West Virginia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wisconsin,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wyoming,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alabama,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alaska,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arizona,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arkansas,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,California,73,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Colorado,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Connecticut,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Delaware,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,District of Columbia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Florida,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Georgia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Hawaii,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Idaho,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Illinois,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Indiana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Iowa,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kansas,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kentucky,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Louisiana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Maine,0,0,0,0,0,0,0,0
