,week,State,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
74,2020-01-08 2020-01-15,Minnesota,0,0,0,0,0,0,0,0,0,0
75,2020-01-08 2020-01-15,Mississippi,0,0,0,0,0,0,0,0,0,0
76,2020-01-08 2020-01-15,Missouri,0,0,0,0,0,0,0,0,0,0
77,2020-01-08 2020-01-15,Montana,0,0,0,0,0,0,0,0,0,0
78,2020-01-08 2020-01-15,Nebraska,0,0,0,0,0,0,0,0,0,0
79,2020-01-08 2020-01-15,Nevada,0,0,0,0,0,0,0,0,0,0
80,2020-01-08 2020-01-15,New Hampshire,0,0,0,0,0,0,0,0,0,0
81,2020-01-08 2020-01-15,New Jersey,0,0,0,0,0,0,0,0,0,0
82,2020-01-08 2020-01-15,New Mexico,0,0,0,0,0,0,0,0,0,0
83,2020-01-08 2020-01-15,New York,0,0,0,0,0,0,0,0,0,0
84,2020-01-08 2020-01-15,North Carolina,0,0,0,0,0,0,0,0,0,0
85,2020-01-08 2020-01-15,North Dakota,0,0,0,0,0,0,0,0,0,0
86,2020-01-08 2020-01-15,Ohio,0,0,0,0,0,0,0,0,0,0
87,2020-01-08 2020-01-15,Oklahoma,0,0,0,0,0,0,0,0,0,0
88,2020-01-08 2020-01-15,Oregon,0,0,0,0,0,0,0,0,0,0
89,2020-01-08 2020-01-15,Pennsylvania,0,0,0,0,0,0,0,0,0,0
90,2020-01-08 2020-01-15,Rhode Island,0,0,0,0,0,0,0,0,0,0
91,2020-01-08 2020-01-15,South Carolina,0,0,0,0,0,0,0,0,0,0
92,2020-01-08 2020-01-15,South Dakota,0,0,0,0,0,0,0,0,0,0
93,2020-01-08 2020-01-15,Tennessee,0,0,0,0,0,0,0,0,0,0
94,2020-01-08 2020-01-15,Texas,0,0,0,0,0,0,0,0,0,0
95,2020-01-08 2020-01-15,Utah,0,0,0,0,0,0,0,0,0,0
96,2020-01-08 2020-01-15,Vermont,0,0,0,0,0,0,0,0,0,0
97,2020-01-08 2020-01-15,Virginia,0,0,0,0,0,0,0,0,0,0
98,2020-01-08 2020-01-15,Washington,0,0,0,0,0,0,0,0,0,0
99,2020-01-08 2020-01-15,West Virginia,0,0,0,0,0,0,0,0,0,0
100,2020-01-08 2020-01-15,Wisconsin,0,0,0,0,0,0,0,0,0,0
101,2020-01-08 2020-01-15,Wyoming,0,0,0,0,0,0,0,0,0,0
102,2020-01-15 2020-01-22,Alabama,0,0,0,0,0,0,0,0,0,0
103,2020-01-15 2020-01-22,Alaska,0,0,0,0,0,0,0,0,0,0
104,2020-01-15 2020-01-22,Arizona,0,0,0,0,0,0,0,0,0,0
105,2020-01-15 2020-01-22,Arkansas,0,0,0,0,0,0,0,0,0,0
106,2020-01-15 2020-01-22,California,0,0,0,0,0,0,0,0,0,0
107,2020-01-15 2020-01-22,Colorado,0,0,0,0,0,0,0,0,0,0
108,2020-01-15 2020-01-22,Connecticut,0,0,0,0,0,0,0,0,0,0
109,2020-01-15 2020-01-22,Delaware,0,0,0,0,0,0,0,0,0,0
110,2020-01-15 2020-01-22,District of Columbia,0,0,0,0,0,0,0,0,0,0
111,2020-01-15 2020-01-22,Florida,0,0,0,0,0,0,0,0,0,0
112,2020-01-15 2020-01-22,Georgia,0,0,0,0,0,0,0,0,0,0
113,2020-01-15 2020-01-22,Hawaii,0,0,0,0,0,0,0,0,0,0
114,2020-01-15 2020-01-22,Idaho,0,0,0,0,0,0,0,0,0,0
115,2020-01-15 2020-01-22,Illinois,0,0,0,0,0,0,0,0,0,0
116,2020-01-15 2020-01-22,Indiana,0,0,0,0,0,0,0,0,0,0
117,2020-01-15 2020-01-22,Iowa,0,0,0,0,0,0,0,0,0,0
118,2020-01-15 2020-01-22,Kansas,0,0,0,0,0,0,0,0,0,0
119,2020-01-15 2020-01-22,Kentucky,0,0,0,0,0,0,0,0,0,0
120,2020-01-15 2020-01-22,Louisiana,0,0,0,0,0,0,0,0,0,0
121,2020-01-15 2020-01-22,Maine,0,0,0,0,0,0,0,0,0,0
122,2020-01-15 2020-01-22,Maryland,0,0,0,0,0,0,0,0,0,0
123,2020-01-15 2020-01-22,Massachusetts,0,0,0,0,0,100,0,0,0,0
124,2020-01-15 2020-01-22,Michigan,0,0,0,0,0,0,0,0,0,0
125,2020-01-15 2020-01-22,Minnesota,0,0,0,0,0,0,0,0,0,0
126,2020-01-15 2020-01-22,Mississippi,0,0,0,0,0,0,0,0,0,0
127,2020-01-15 2020-01-22,Missouri,0,0,0,0,0,0,0,0,0,0
128,2020-01-15 2020-01-22,Montana,0,0,0,0,0,0,0,0,0,0
129,2020-01-15 2020-01-22,Nebraska,0,0,0,0,0,0,0,0,0,0
130,2020-01-15 2020-01-22,Nevada,0,0,0,0,0,0,0,0,0,0
131,2020-01-15 2020-01-22,New Hampshire,0,0,0,0,0,0,0,0,0,0
132,2020-01-15 2020-01-22,New Jersey,0,0,0,0,0,0,0,0,0,0
133,2020-01-15 2020-01-22,New Mexico,0,0,0,0,0,0,0,0,0,0
134,2020-01-15 2020-01-22,New York,0,0,0,0,0,0,0,0,0,0
135,2020-01-15 2020-01-22,North Carolina,0,0,0,0,0,0,0,0,0,0
136,2020-01-15 2020-01-22,North Dakota,0,0,0,0,0,0,0,0,0,0
137,2020-01-15 2020-01-22,Ohio,0,0,0,0,0,0,0,0,0,0
138,2020-01-15 2020-01-22,Oklahoma,0,0,0,0,0,0,0,0,0,0
139,2020-01-15 2020-01-22,Oregon,0,0,0,0,0,0,0,0,0,0
140,2020-01-15 2020-01-22,Pennsylvania,0,0,0,0,0,0,0,0,0,0
141,2020-01-15 2020-01-22,Rhode Island,0,0,0,0,0,0,0,0,0,0
142,2020-01-15 2020-01-22,South Carolina,0,0,0,0,0,0,0,0,0,0
143,2020-01-15 2020-01-22,South Dakota,0,0,0,0,0,0,0,0,0,0
144,2020-01-15 2020-01-22,Tennessee,0,0,0,0,0,0,0,0,0,0
145,2020-01-15 2020-01-22,Texas,0,0,0,0,0,25,0,0,0,0
146,2020-01-15 2020-01-22,Utah,0,0,0,0,0,0,0,0,0,0
147,2020-01-15 2020-01-22,Vermont,0,0,0,0,0,0,0,0,0,0
148,2020-01-15 2020-01-22,Virginia,0,0,0,0,0,0,0,0,0,0
149,2020-01-15 2020-01-22,Washington,0,0,0,0,0,0,0,0,0,0
150,2020-01-15 2020-01-22,West Virginia,0,0,0,0,0,0,0,0,0,0
151,2020-01-15 2020-01-22,Wisconsin,0,0,0,0,0,0,0,0,0,0
152,2020-01-15 2020-01-22,Wyoming,0,0,0,0,0,0,0,0,0,0
153,2020-01-22 2020-01-29,Alabama,0,0,0,30,0,28,0,100,0,0
154,2020-01-22 2020-01-29,Alaska,0,0,0,0,0,0,0,0,0,0
155,2020-01-22 2020-01-29,Arizona,0,0,0,0,0,17,69,0,0,0
156,2020-01-22 2020-01-29,Arkansas,0,0,0,53,0,100,0,0,0,0
157,2020-01-22 2020-01-29,California,4,14,0,9,0,20,39,10,100,31
158,2020-01-22 2020-01-29,Colorado,62,0,0,21,0,39,0,0,0,0
159,2020-01-22 2020-01-29,Connecticut,47,0,0,64,0,30,0,0,0,0
160,2020-01-22 2020-01-29,Delaware,0,0,0,0,0,0,0,0,0,0
161,2020-01-22 2020-01-29,District of Columbia,0,0,0,100,0,0,0,0,0,0
162,2020-01-22 2020-01-29,Florida,16,0,0,14,0,10,63,28,0,0
163,2020-01-22 2020-01-29,Georgia,16,50,0,0,0,10,0,71,0,0
164,2020-01-22 2020-01-29,Hawaii,0,0,0,0,0,0,0,0,0,0
165,2020-01-22 2020-01-29,Idaho,0,0,0,0,0,0,0,0,0,0
166,2020-01-22 2020-01-29,Illinois,13,0,0,18,0,17,33,30,0,92
167,2020-01-22 2020-01-29,Indiana,0,100,0,21,0,0,0,0,0,0
168,2020-01-22 2020-01-29,Iowa,0,0,0,0,0,0,0,0,0,0
169,2020-01-22 2020-01-29,Kansas,0,0,0,50,0,0,0,0,0,0
170,2020-01-22 2020-01-29,Kentucky,0,0,0,32,0,0,0,0,0,0
171,2020-01-22 2020-01-29,Louisiana,49,0,0,33,0,0,0,0,0,0
172,2020-01-22 2020-01-29,Maine,0,0,0,0,0,0,0,0,0,0
173,2020-01-22 2020-01-29,Maryland,0,0,0,0,0,0,0,0,0,0
174,2020-01-22 2020-01-29,Massachusetts,0,77,0,16,0,0,0,0,0,0
175,2020-01-22 2020-01-29,Michigan,0,0,0,33,0,12,49,0,0,0
176,2020-01-22 2020-01-29,Minnesota,33,0,0,0,0,21,0,0,0,0
177,2020-01-22 2020-01-29,Mississippi,0,0,0,0,0,0,0,0,0,0
178,2020-01-22 2020-01-29,Missouri,0,0,0,0,0,0,0,0,0,0
179,2020-01-22 2020-01-29,Montana,0,0,0,0,0,0,0,0,0,0
180,2020-01-22 2020-01-29,Nebraska,0,0,0,64,0,0,0,0,0,0
181,2020-01-22 2020-01-29,Nevada,0,0,0,41,0,0,0,0,0,0
182,2020-01-22 2020-01-29,New Hampshire,0,0,0,99,0,0,0,0,0,0
183,2020-01-22 2020-01-29,New Jersey,0,0,0,26,0,12,49,0,0,0
184,2020-01-22 2020-01-29,New Mexico,100,0,0,0,0,0,0,0,0,0
185,2020-01-22 2020-01-29,New York,0,26,0,24,0,5,20,36,0,0
186,2020-01-22 2020-01-29,North Carolina,0,55,0,23,0,11,43,39,0,0
187,2020-01-22 2020-01-29,North Dakota,0,0,0,0,0,0,0,0,0,0
188,2020-01-22 2020-01-29,Ohio,0,0,0,41,0,29,58,34,0,0
189,2020-01-22 2020-01-29,Oklahoma,0,0,0,0,0,38,0,0,0,0
190,2020-01-22 2020-01-29,Oregon,44,0,0,30,0,0,0,0,0,0
191,2020-01-22 2020-01-29,Pennsylvania,0,0,0,14,0,0,36,32,0,100
192,2020-01-22 2020-01-29,Rhode Island,0,0,0,0,0,0,0,0,0,0
193,2020-01-22 2020-01-29,South Carolina,0,0,0,0,0,0,0,0,0,0
194,2020-01-22 2020-01-29,South Dakota,0,0,0,0,0,0,0,0,0,0
195,2020-01-22 2020-01-29,Tennessee,0,93,0,29,0,0,74,65,0,0
196,2020-01-22 2020-01-29,Texas,0,20,0,19,0,8,47,0,0,43
197,2020-01-22 2020-01-29,Utah,0,0,0,0,0,0,0,0,0,0
198,2020-01-22 2020-01-29,Vermont,0,0,0,0,0,0,0,0,0,0
199,2020-01-22 2020-01-29,Virginia,19,0,0,53,0,12,100,0,0,0
200,2020-01-22 2020-01-29,Washington,24,78,0,49,0,15,61,0,0,0
201,2020-01-22 2020-01-29,West Virginia,0,0,0,0,0,0,0,0,0,0
202,2020-01-22 2020-01-29,Wisconsin,0,0,0,45,0,22,0,0,0,0
203,2020-01-22 2020-01-29,Wyoming,0,0,0,0,0,0,0,0,0,0
204,2020-01-29 2020-02-05,Alabama,0,0,0,15,0,0,0,0,0,0
205,2020-01-29 2020-02-05,Alaska,0,0,0,0,0,0,0,0,0,0
206,2020-01-29 2020-02-05,Arizona,0,0,0,0,0,28,44,0,0,0
207,2020-01-29 2020-02-05,Arkansas,0,0,0,0,0,81,0,100,0,0
208,2020-01-29 2020-02-05,California,9,20,0,21,0,7,18,6,100,34
209,2020-01-29 2020-02-05,Colorado,0,0,0,0,0,31,48,0,0,0
210,2020-01-29 2020-02-05,Connecticut,0,0,0,0,0,0,0,0,0,0
211,2020-01-29 2020-02-05,Delaware,0,0,0,0,0,0,0,0,0,0
212,2020-01-29 2020-02-05,District of Columbia,0,0,0,63,0,0,0,0,0,0
213,2020-01-29 2020-02-05,Florida,17,25,0,7,0,8,13,10,0,63
214,2020-01-29 2020-02-05,Georgia,69,0,0,7,0,18,0,0,0,0
215,2020-01-29 2020-02-05,Hawaii,0,0,0,0,0,0,0,0,0,0
216,2020-01-29 2020-02-05,Idaho,0,0,0,0,0,0,0,0,0,0
217,2020-01-29 2020-02-05,Illinois,0,39,0,17,0,14,42,0,97,100
218,2020-01-29 2020-02-05,Indiana,0,0,0,27,0,0,100,0,0,0
219,2020-01-29 2020-02-05,Iowa,0,0,0,0,0,0,0,0,0,0
220,2020-01-29 2020-02-05,Kansas,0,0,0,0,0,0,0,0,0,0
221,2020-01-29 2020-02-05,Kentucky,0,0,0,21,0,0,0,0,0,0
222,2020-01-29 2020-02-05,Louisiana,100,0,0,43,0,51,0,0,0,0
223,2020-01-29 2020-02-05,Maine,0,0,0,0,0,0,0,0,0,0
224,2020-01-29 2020-02-05,Maryland,0,0,0,12,0,0,0,0,0,0
225,2020-01-29 2020-02-05,Massachusetts,48,0,0,10,0,0,38,0,0,0
226,2020-01-29 2020-02-05,Michigan,0,0,0,13,0,0,65,0,0,0
227,2020-01-29 2020-02-05,Minnesota,0,0,0,14,0,0,0,0,0,0
228,2020-01-29 2020-02-05,Mississippi,0,0,0,39,0,0,0,0,0,0
229,2020-01-29 2020-02-05,Missouri,65,96,0,28,0,0,0,0,0,0
230,2020-01-29 2020-02-05,Montana,0,0,0,100,0,0,0,0,0,0
231,2020-01-29 2020-02-05,Nebraska,0,0,0,0,0,100,0,0,0,0
232,2020-01-29 2020-02-05,Nevada,0,0,0,0,0,0,0,0,0,0
233,2020-01-29 2020-02-05,New Hampshire,0,0,0,0,0,0,0,0,0,0
234,2020-01-29 2020-02-05,New Jersey,38,0,0,12,0,0,30,0,0,0
235,2020-01-29 2020-02-05,New Mexico,0,0,0,44,0,0,0,0,0,0
236,2020-01-29 2020-02-05,New York,16,24,0,17,0,16,52,10,0,0
237,2020-01-29 2020-02-05,North Carolina,34,51,0,7,0,0,0,0,0,0
238,2020-01-29 2020-02-05,North Dakota,0,0,0,0,0,0,0,0,0,0
239,2020-01-29 2020-02-05,Ohio,30,0,0,13,0,0,36,0,0,0
240,2020-01-29 2020-02-05,Oklahoma,0,0,0,0,0,0,0,0,0,0
241,2020-01-29 2020-02-05,Oregon,0,0,0,40,0,47,0,0,0,0
242,2020-01-29 2020-02-05,Pennsylvania,29,0,0,22,0,0,0,19,0,0
243,2020-01-29 2020-02-05,Rhode Island,0,0,0,69,0,0,0,0,0,0
244,2020-01-29 2020-02-05,South Carolina,83,0,0,0,0,0,0,0,0,0
245,2020-01-29 2020-02-05,South Dakota,0,0,0,0,0,0,0,0,0,0
246,2020-01-29 2020-02-05,Tennessee,57,0,0,25,0,30,0,0,0,0
247,2020-01-29 2020-02-05,Texas,19,37,0,11,0,6,10,16,0,0
248,2020-01-29 2020-02-05,Utah,0,0,0,26,0,0,0,0,0,0
249,2020-01-29 2020-02-05,Vermont,0,0,0,0,0,0,0,0,0,0
