,week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
66,2020-01-08 2020-01-15,Iowa,23,0,0,0,0,0,0,0
67,2020-01-08 2020-01-15,Kansas,0,0,0,0,0,0,0,0
68,2020-01-08 2020-01-15,Kentucky,25,0,0,0,0,0,0,0
69,2020-01-08 2020-01-15,Louisiana,0,0,0,0,0,0,0,0
70,2020-01-08 2020-01-15,Maine,0,0,0,0,0,0,0,0
71,2020-01-08 2020-01-15,Maryland,20,0,0,0,0,0,0,0
72,2020-01-08 2020-01-15,Massachusetts,8,0,0,0,0,0,0,0
73,2020-01-08 2020-01-15,Michigan,7,0,0,0,0,0,0,0
74,2020-01-08 2020-01-15,Minnesota,11,0,0,0,0,0,0,0
75,2020-01-08 2020-01-15,Mississippi,0,0,0,0,0,0,0,0
76,2020-01-08 2020-01-15,Missouri,17,0,0,0,0,0,0,0
77,2020-01-08 2020-01-15,Montana,0,0,0,0,0,0,0,0
78,2020-01-08 2020-01-15,Nebraska,0,0,0,0,0,0,0,0
79,2020-01-08 2020-01-15,Nevada,0,0,0,0,0,0,0,0
80,2020-01-08 2020-01-15,New Hampshire,0,0,0,0,0,0,0,0
81,2020-01-08 2020-01-15,New Jersey,13,0,0,0,0,0,0,0
82,2020-01-08 2020-01-15,New Mexico,0,0,0,0,0,0,0,0
83,2020-01-08 2020-01-15,New York,10,0,0,0,100,100,0,0
84,2020-01-08 2020-01-15,North Carolina,16,0,0,0,0,0,0,0
85,2020-01-08 2020-01-15,North Dakota,0,0,0,0,0,0,0,0
86,2020-01-08 2020-01-15,Ohio,8,0,0,0,0,0,0,0
87,2020-01-08 2020-01-15,Oklahoma,20,0,0,0,0,0,0,0
88,2020-01-08 2020-01-15,Oregon,0,0,0,0,0,0,0,0
89,2020-01-08 2020-01-15,Pennsylvania,5,0,0,0,0,0,0,0
90,2020-01-08 2020-01-15,Rhode Island,58,0,0,0,0,0,0,0
91,2020-01-08 2020-01-15,South Carolina,14,0,0,0,0,0,0,0
92,2020-01-08 2020-01-15,South Dakota,0,0,0,0,0,0,0,0
93,2020-01-08 2020-01-15,Tennessee,10,0,0,0,0,0,0,0
94,2020-01-08 2020-01-15,Texas,9,0,0,0,0,0,0,0
95,2020-01-08 2020-01-15,Utah,0,0,0,0,0,0,0,0
