date,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,avg
4/15/2020,Rhode Island,0,0,0,0,0,0,0,0
4/15/2020,South Carolina,0,0,0,0,0,0,0,0
4/15/2020,South Dakota,0,0,0,0,0,0,0,0
4/15/2020,Tennessee,0,0,0,0,0,0,0,0
4/15/2020,Texas,6,27,76,0,9,0,0,16.85714286
4/15/2020,Utah,0,0,0,0,0,0,0,0
4/15/2020,Vermont,0,0,0,0,0,0,0,0
4/15/2020,Virginia,0,0,0,0,42,0,0,6
4/15/2020,Washington,12,0,0,0,0,0,0,1.714285714
4/15/2020,West Virginia,0,0,0,0,0,0,0,0
4/15/2020,Wisconsin,0,0,0,0,0,0,0,0
4/15/2020,Wyoming,0,0,0,0,0,0,0,0
4/16/2020,Alabama,22,0,0,0,67,0,0,12.71428571
4/16/2020,Alaska,0,0,0,0,0,0,0,0
4/16/2020,Arizona,13,0,0,0,0,0,0,1.857142857
4/16/2020,Arkansas,39,0,0,0,0,0,0,5.571428571
4/16/2020,California,7,39,14,0,21,0,51,18.85714286
4/16/2020,Colorado,14,0,0,0,43,0,0,8.142857143
4/16/2020,Connecticut,22,0,0,0,0,0,0,3.142857143
4/16/2020,Delaware,0,0,0,0,0,0,0,0
4/16/2020,District of Columbia,95,0,0,0,0,0,0,13.57142857
4/16/2020,Florida,14,36,35,27,24,0,0,19.42857143
4/16/2020,Georgia,8,0,50,0,0,0,0,8.285714286
4/16/2020,Hawaii,0,0,0,0,0,0,0,0
4/16/2020,Idaho,57,0,0,0,0,0,0,8.142857143
4/16/2020,Illinois,13,0,27,0,19,0,0,8.428571429
4/16/2020,Indiana,15,0,0,100,67,0,0,26
4/16/2020,Iowa,33,0,0,0,100,0,0,19
4/16/2020,Kansas,34,0,0,0,0,0,0,4.857142857
4/16/2020,Kentucky,23,0,0,0,0,0,0,3.285714286
4/16/2020,Louisiana,25,0,0,0,0,0,0,3.571428571
4/16/2020,Maine,70,0,0,0,0,0,0,10
4/16/2020,Maryland,0,0,0,0,39,0,0,5.571428571
4/16/2020,Massachusetts,11,100,0,0,33,0,0,20.57142857
4/16/2020,Michigan,23,80,76,60,26,0,0,37.85714286
4/16/2020,Minnesota,0,0,0,0,67,0,0,9.571428571
4/16/2020,Mississippi,0,0,0,0,0,0,0,0
4/16/2020,Missouri,15,0,100,0,46,0,0,23
4/16/2020,Montana,100,0,0,0,0,0,0,14.28571429
4/16/2020,Nebraska,0,0,0,0,0,0,0,0
4/16/2020,Nevada,30,0,0,0,90,0,0,17.14285714
4/16/2020,New Hampshire,62,0,0,0,0,0,0,8.857142857
4/16/2020,New Jersey,20,78,38,88,39,0,0,37.57142857
4/16/2020,New Mexico,0,0,0,0,0,0,0,0
4/16/2020,New York,15,37,0,0,28,0,100,25.71428571
4/16/2020,North Carolina,14,0,0,0,38,0,0,7.428571429
4/16/2020,North Dakota,0,0,0,0,0,0,0,0
4/16/2020,Ohio,8,0,0,0,0,0,0,1.142857143
4/16/2020,Oklahoma,28,0,0,0,0,0,0,4
4/16/2020,Oregon,21,0,0,0,64,0,0,12.14285714
4/16/2020,Pennsylvania,13,0,29,0,20,0,0,8.857142857
4/16/2020,Rhode Island,0,0,0,0,0,0,0,0
4/16/2020,South Carolina,20,0,0,0,0,0,0,2.857142857
4/16/2020,South Dakota,0,0,0,0,0,0,0,0
4/16/2020,Tennessee,14,0,0,0,87,0,0,14.42857143
4/16/2020,Texas,7,41,0,20,21,0,0,12.71428571
4/16/2020,Utah,0,0,0,0,0,0,0,0
4/16/2020,Vermont,0,0,0,0,0,0,0,0
4/16/2020,Virginia,14,0,42,66,29,0,0,21.57142857
4/16/2020,Washington,12,0,0,0,0,0,0,1.714285714
4/16/2020,West Virginia,0,0,0,0,0,0,0,0
4/16/2020,Wisconsin,15,0,0,0,46,0,0,8.714285714
4/16/2020,Wyoming,0,0,0,0,0,0,0,0
4/17/2020,Alabama,0,0,0,0,99,0,0,14.14285714
4/17/2020,Alaska,0,0,0,0,0,0,0,0
4/17/2020,Arizona,0,0,0,0,0,0,0,0
4/17/2020,Arkansas,39,0,0,0,0,0,0,5.571428571
4/17/2020,California,6,25,14,14,9,0,51,17
4/17/2020,Colorado,15,0,100,0,0,0,0,16.42857143
4/17/2020,Connecticut,45,0,0,0,100,0,0,20.71428571
4/17/2020,Delaware,96,0,0,0,0,0,0,13.71428571
4/17/2020,District of Columbia,100,0,0,0,0,0,0,14.28571429
4/17/2020,Florida,4,0,0,0,0,0,100,14.85714286
4/17/2020,Georgia,8,0,0,0,35,0,0,6.142857143
4/17/2020,Hawaii,0,0,0,0,0,0,0,0
4/17/2020,Idaho,0,0,0,0,0,0,0,0
4/17/2020,Illinois,6,0,0,0,0,0,0,0.857142857
4/17/2020,Indiana,0,0,0,0,65,0,0,9.285714286
4/17/2020,Iowa,0,0,0,0,0,0,0,0
4/17/2020,Kansas,0,0,0,0,0,0,0,0
4/17/2020,Kentucky,0,0,0,0,0,0,0,0
4/17/2020,Louisiana,0,0,0,0,0,0,0,0
4/17/2020,Maine,73,0,0,0,0,0,0,10.42857143
4/17/2020,Maryland,27,0,0,0,58,0,0,12.14285714
4/17/2020,Massachusetts,19,0,77,0,0,0,0,13.71428571
4/17/2020,Michigan,9,0,0,0,78,0,0,12.42857143
4/17/2020,Minnesota,0,0,0,0,67,0,0,9.571428571
4/17/2020,Mississippi,0,0,0,0,0,0,0,0
4/17/2020,Missouri,0,0,0,0,67,0,0,9.571428571
4/17/2020,Montana,0,0,0,0,0,0,0,0
4/17/2020,Nebraska,48,0,0,0,0,0,0,6.857142857
4/17/2020,Nevada,0,0,0,0,0,0,0,0
4/17/2020,New Hampshire,0,0,0,0,0,0,0,0
4/17/2020,New Jersey,12,100,59,0,38,0,0,29.85714286
4/17/2020,New Mexico,0,0,0,0,0,0,0,0
4/17/2020,New York,3,0,23,0,0,0,0,3.714285714
