,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
99,West Virginia,2020-01-08 2020-01-15,0,0,0,0,0
100,Wisconsin,2020-01-08 2020-01-15,0,0,0,0,0
101,Wyoming,2020-01-08 2020-01-15,0,0,0,0,0
102,Alabama,2020-01-15 2020-01-22,0,0,0,0,0
103,Alaska,2020-01-15 2020-01-22,0,0,0,0,0
104,Arizona,2020-01-15 2020-01-22,0,0,0,0,0
105,Arkansas,2020-01-15 2020-01-22,0,0,0,0,0
106,California,2020-01-15 2020-01-22,0,0,0,0,0
107,Colorado,2020-01-15 2020-01-22,0,0,0,0,0
108,Connecticut,2020-01-15 2020-01-22,0,0,0,0,0
109,Delaware,2020-01-15 2020-01-22,0,0,0,0,0
110,District of Columbia,2020-01-15 2020-01-22,0,0,0,0,0
111,Florida,2020-01-15 2020-01-22,0,0,0,0,0
112,Georgia,2020-01-15 2020-01-22,0,0,0,0,0
113,Hawaii,2020-01-15 2020-01-22,0,0,0,0,0
114,Idaho,2020-01-15 2020-01-22,0,0,0,0,0
115,Illinois,2020-01-15 2020-01-22,0,0,0,0,0
116,Indiana,2020-01-15 2020-01-22,0,0,0,0,0
117,Iowa,2020-01-15 2020-01-22,0,0,0,0,0
118,Kansas,2020-01-15 2020-01-22,0,0,0,0,0
119,Kentucky,2020-01-15 2020-01-22,0,0,0,0,0
120,Louisiana,2020-01-15 2020-01-22,0,0,0,0,0
121,Maine,2020-01-15 2020-01-22,0,0,0,0,0
122,Maryland,2020-01-15 2020-01-22,0,0,0,0,0
123,Massachusetts,2020-01-15 2020-01-22,0,0,0,0,0
124,Michigan,2020-01-15 2020-01-22,0,0,0,0,0
125,Minnesota,2020-01-15 2020-01-22,0,0,0,0,0
126,Mississippi,2020-01-15 2020-01-22,0,0,0,0,0
127,Missouri,2020-01-15 2020-01-22,0,0,0,0,0
128,Montana,2020-01-15 2020-01-22,0,0,0,0,0
129,Nebraska,2020-01-15 2020-01-22,0,0,0,0,0
130,Nevada,2020-01-15 2020-01-22,0,0,0,0,0
131,New Hampshire,2020-01-15 2020-01-22,0,0,0,0,0
132,New Jersey,2020-01-15 2020-01-22,0,0,0,0,0
133,New Mexico,2020-01-15 2020-01-22,0,0,0,0,0
134,New York,2020-01-15 2020-01-22,0,0,0,0,0
135,North Carolina,2020-01-15 2020-01-22,0,0,0,0,0
136,North Dakota,2020-01-15 2020-01-22,0,0,0,0,0
137,Ohio,2020-01-15 2020-01-22,0,0,0,0,0
138,Oklahoma,2020-01-15 2020-01-22,0,0,0,0,0
139,Oregon,2020-01-15 2020-01-22,0,0,0,0,0
140,Pennsylvania,2020-01-15 2020-01-22,0,0,0,0,0
141,Rhode Island,2020-01-15 2020-01-22,0,0,0,0,0
142,South Carolina,2020-01-15 2020-01-22,0,0,0,0,0
143,South Dakota,2020-01-15 2020-01-22,0,0,0,0,0
144,Tennessee,2020-01-15 2020-01-22,0,0,0,0,0
145,Texas,2020-01-15 2020-01-22,0,0,0,0,0
