date,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
2020-01-01,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,17,26
2020-01-11,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,2,7,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,6,0,0,7,0,0,25
2020-01-23,0,0,0,0,0,3,29,0,24,25
2020-01-24,8,10,0,10,0,10,42,0,0,27
2020-01-25,9,11,0,22,0,19,58,17,55,43
2020-01-26,26,21,0,36,0,23,60,13,53,83
2020-01-27,27,14,0,49,0,18,100,22,95,25
2020-01-28,20,23,0,68,0,22,93,19,64,100
2020-01-29,47,37,81,40,0,8,58,8,72,25
2020-01-30,49,19,0,41,0,6,37,4,33,26
2020-01-31,37,29,28,41,0,12,26,4,83,26
2020-02-01,18,21,31,46,0,4,37,4,0,29
2020-02-02,31,32,61,41,0,11,16,9,27,43
2020-02-03,30,22,25,33,0,12,27,7,52,35
2020-02-04,12,14,0,32,0,14,21,11,40,25
2020-02-05,24,0,0,19,0,5,22,0,40,50
2020-02-06,8,9,0,16,0,8,0,0,16,0
2020-02-07,17,19,0,24,0,10,15,0,84,39
2020-02-08,9,16,0,26,0,4,16,8,18,28
2020-02-09,22,11,0,30,0,8,24,4,18,70
2020-02-10,15,18,0,18,0,9,25,4,62,0
2020-02-11,15,27,0,32,0,7,17,7,39,24
