date,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon,wuhan virus lab,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab
2020-02-12,16,14,0,20,10,7,7,0,39,25
2020-02-13,16,9,0,19,10,8,18,8,40,0
2020-02-14,20,10,0,19,21,10,22,4,25,0
2020-02-15,18,26,0,23,0,4,8,4,27,28
2020-02-16,18,10,0,17,0,8,24,4,54,56
2020-02-17,24,14,0,28,10,9,29,0,32,0
2020-02-18,8,0,0,30,10,8,7,7,31,0
2020-02-19,8,9,27,24,10,4,14,4,23,74
2020-02-20,16,9,0,20,10,2,7,4,16,25
2020-02-21,16,0,0,14,26,4,7,0,0,26
2020-02-22,13,10,0,14,17,5,8,0,27,0
2020-02-23,17,26,0,14,0,6,8,0,0,0
2020-02-24,39,14,0,30,0,8,14,7,31,0
2020-02-25,15,18,0,38,0,9,14,4,0,24
2020-02-26,30,31,0,35,24,7,14,4,15,71
2020-02-27,30,36,0,39,10,4,34,4,0,48
2020-02-28,24,32,0,45,15,6,18,19,32,50
2020-02-29,13,15,29,22,11,8,16,8,17,27
2020-03-01,21,25,0,38,16,9,8,8,17,27
2020-03-02,15,27,0,38,10,4,21,0,15,47
2020-03-03,38,31,0,15,29,7,0,14,0,24
2020-03-04,34,27,0,35,19,7,10,4,23,0
2020-03-05,15,27,0,30,15,6,21,4,15,48
2020-03-06,24,28,27,12,30,6,22,11,16,50
2020-03-07,17,10,0,26,55,5,12,0,17,55
2020-03-08,21,20,0,35,22,6,8,12,0,27
2020-03-09,38,36,26,42,53,8,7,4,15,24
2020-03-10,34,31,0,31,24,6,27,7,15,24
2020-03-11,48,48,25,44,19,10,27,18,0,23
2020-03-12,59,74,0,100,70,19,23,28,30,93
2020-03-13,61,63,26,76,68,21,25,18,0,36
2020-03-14,68,55,0,76,92,17,16,12,0,0
2020-03-15,69,76,0,51,71,21,27,8,17,54
2020-03-16,100,83,25,82,75,11,30,18,30,70
2020-03-17,92,100,50,65,61,19,20,21,0,35
2020-03-18,83,66,51,81,100,16,34,4,15,24
2020-03-19,53,53,0,52,57,19,27,4,45,24
2020-03-20,81,52,38,59,93,13,43,18,0,69
2020-03-21,80,74,57,59,90,8,27,8,17,80
2020-03-22,62,73,28,63,94,10,30,4,50,0
2020-03-23,48,56,47,46,52,7,19,3,34,32
2020-03-24,69,72,25,75,92,4,13,10,15,23
2020-03-25,94,66,38,72,81,12,24,28,23,24
2020-03-26,86,88,76,72,62,11,14,29,15,24
2020-03-27,93,63,24,76,36,10,19,14,14,45
2020-03-28,53,52,28,65,67,9,29,15,0,25
2020-03-29,81,43,55,65,92,8,29,8,16,38
2020-03-30,56,29,24,54,49,10,13,13,14,44
2020-03-31,28,33,24,37,36,11,10,10,14,33
2020-04-01,29,25,25,51,68,19,13,10,0,34
2020-04-02,32,29,0,25,45,7,26,7,0,0
2020-04-03,22,26,0,30,37,5,13,7,15,0
2020-04-04,33,14,28,29,31,14,37,4,16,77
2020-04-05,29,24,28,39,42,16,26,4,16,39
2020-04-06,21,13,0,27,27,10,19,3,0,34
2020-04-07,22,25,25,20,27,14,13,10,0,23
2020-04-08,15,0,100,24,37,7,20,14,22,23
2020-04-09,7,9,0,13,38,7,24,4,45,24
2020-04-10,16,23,0,20,69,9,11,7,16,24
2020-04-11,8,0,0,16,31,12,15,0,33,26
2020-04-12,16,10,56,16,21,10,11,23,25,26
2020-04-13,33,26,0,28,33,13,20,11,60,0
2020-04-14,18,0,0,21,27,23,29,27,65,45
2020-04-15,18,17,0,18,18,38,36,48,100,45
2020-04-16,14,13,25,23,41,100,42,100,22,45
2020-04-17,7,21,0,17,46,53,36,45,59,81
2020-04-18,8,28,0,13,15,42,22,77,32,89
2020-04-19,16,19,28,26,36,40,11,39,74,39
2020-04-20,11,8,24,14,9,21,26,30,21,22
2020-04-21,7,13,0,8,14,12,19,27,36,22
2020-04-22,7,9,0,10,18,21,26,45,22,23
2020-04-23,10,8,24,14,18,16,16,20,14,22
2020-04-24,22,17,0,10,19,15,10,10,29,0
2020-04-25,12,10,28,5,21,14,7,16,25,26
2020-04-26,8,0,0,10,15,11,7,4,0,0
2020-04-27,7,17,25,4,18,8,10,10,0,34
2020-04-28,14,13,24,6,9,6,7,3,0,0
2020-04-29,7,8,0,10,27,16,6,10,28,0
