week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
2020-01-08 2020-01-15,Oregon,21,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Pennsylvania,7,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Rhode Island,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Carolina,19,0,0,0,0,0,0,0
2020-01-08 2020-01-15,South Dakota,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Tennessee,20,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Texas,13,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Utah,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Vermont,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Virginia,18,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Washington,22,0,0,0,0,0,0,0
2020-01-08 2020-01-15,West Virginia,0,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wisconsin,16,0,0,0,0,0,0,0
2020-01-08 2020-01-15,Wyoming,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alabama,42,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Alaska,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arizona,12,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Arkansas,24,0,0,0,0,0,0,0
2020-01-15 2020-01-22,California,10,0,0,0,0,15,0,0
2020-01-15 2020-01-22,Colorado,19,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Connecticut,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Delaware,65,0,0,0,0,0,0,0
2020-01-15 2020-01-22,District of Columbia,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Florida,15,0,0,0,0,28,0,100
2020-01-15 2020-01-22,Georgia,5,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Hawaii,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Idaho,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Illinois,9,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Indiana,10,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Iowa,31,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kansas,23,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Kentucky,15,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Louisiana,23,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Maine,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Maryland,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Massachusetts,11,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Michigan,12,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Minnesota,27,0,0,0,0,100,0,0
2020-01-15 2020-01-22,Mississippi,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Missouri,14,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Montana,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Nebraska,30,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Nevada,19,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New Hampshire,45,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New Jersey,6,0,100,0,0,0,0,0
2020-01-15 2020-01-22,New Mexico,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,New York,11,0,0,0,0,25,0,0
2020-01-15 2020-01-22,North Carolina,10,0,0,0,0,0,0,0
2020-01-15 2020-01-22,North Dakota,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Ohio,14,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Oklahoma,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Oregon,14,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Pennsylvania,13,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Rhode Island,51,0,0,0,0,0,0,0
2020-01-15 2020-01-22,South Carolina,13,0,0,0,0,0,0,0
2020-01-15 2020-01-22,South Dakota,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Tennessee,8,0,0,0,0,88,0,0
2020-01-15 2020-01-22,Texas,7,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Utah,0,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Vermont,100,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Virginia,9,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Washington,11,0,0,0,0,0,0,0
2020-01-15 2020-01-22,West Virginia,44,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Wisconsin,10,0,0,0,0,0,0,0
2020-01-15 2020-01-22,Wyoming,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Alabama,10,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Alaska,0,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Arizona,6,0,0,0,0,0,0,0
2020-01-22 2020-01-29,Arkansas,36,0,0,0,0,0,0,0
2020-01-22 2020-01-29,California,7,18,0,0,0,0,0,0
2020-01-22 2020-01-29,Colorado,14,0,0,0,0,0,0,0
