date,bat soup,coronavirus bat soup,china bat soup,chinese bat soup,wuhan bat soup,bat soup virus
2020-01-01,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0
2020-01-22,1,0,0,0,6,0
2020-01-23,37,27,32,20,42,36
2020-01-24,90,70,63,92,88,100
2020-01-25,100,100,100,100,79,96
2020-01-26,90,85,92,74,100,88
2020-01-27,81,66,85,64,65,71
2020-01-28,70,56,57,74,72,59
2020-01-29,70,53,51,70,92,59
2020-01-30,78,61,60,68,76,36
2020-01-31,80,67,64,57,62,56
2020-02-01,51,44,60,49,30,36
2020-02-02,32,37,33,46,20,17
2020-02-03,32,19,24,20,6,25
2020-02-04,28,29,25,29,6,18
2020-02-05,20,13,22,20,9,17
2020-02-06,19,16,10,18,12,14
2020-02-07,22,19,16,22,9,14
2020-02-08,26,24,24,18,17,21
2020-02-09,16,16,13,20,13,6
2020-02-10,12,12,17,15,14,21
2020-02-11,13,12,7,15,9,15
2020-02-12,15,13,8,15,3,8
2020-02-13,13,17,11,16,6,7
2020-02-14,9,9,7,12,0,17
2020-02-15,9,9,9,7,7,8
2020-02-16,10,9,4,4,0,4
2020-02-17,8,9,8,10,6,5
2020-02-18,7,5,3,6,9,15
2020-02-19,5,5,6,4,0,0
2020-02-20,6,8,3,4,0,3
2020-02-21,4,4,6,8,6,3
2020-02-22,7,3,5,4,3,4
2020-02-23,6,6,3,9,3,7
2020-02-24,8,8,5,4,3,10
2020-02-25,9,6,10,4,3,12
2020-02-26,10,13,3,4,8,11
2020-02-27,12,13,6,15,3,14
2020-02-28,15,14,13,14,6,13
2020-02-29,13,15,10,13,13,14
2020-03-01,11,7,4,6,0,7
2020-03-02,12,15,7,11,17,14
2020-03-03,12,10,5,18,17,10
2020-03-04,15,13,10,11,14,8
2020-03-05,14,17,6,19,26,13
2020-03-06,12,12,8,10,12,8
2020-03-07,11,7,6,15,6,15
2020-03-08,11,12,5,11,10,9
2020-03-09,15,13,11,8,3,11
2020-03-10,12,18,8,6,17,11
2020-03-11,16,16,9,15,11,9
2020-03-12,29,33,17,24,14,37
2020-03-13,35,42,12,17,23,36
2020-03-14,39,46,17,17,6,45
2020-03-15,45,44,22,27,13,31
2020-03-16,36,33,19,18,19,25
2020-03-17,28,25,15,25,25,28
2020-03-18,27,22,13,20,8,22
2020-03-19,26,21,14,11,17,27
2020-03-20,23,12,10,13,25,11
2020-03-21,25,20,9,27,16,25
2020-03-22,20,14,13,20,22,23
2020-03-23,18,10,9,19,18,15
2020-03-24,13,9,8,18,11,9
2020-03-25,15,12,7,11,14,11
2020-03-26,11,13,2,13,6,6
2020-03-27,12,9,6,5,5,6
2020-03-28,12,7,2,18,0,10
2020-03-29,13,8,6,12,6,3
2020-03-30,10,4,1,10,11,9
2020-03-31,9,9,4,5,0,5
2020-04-01,10,5,7,5,8,6
2020-04-02,9,5,6,11,0,5
2020-04-03,8,5,4,9,0,8
2020-04-04,8,4,3,10,0,3
2020-04-05,7,6,4,8,0,10
2020-04-06,6,4,6,7,0,11
2020-04-07,5,5,1,0,0,9
2020-04-08,6,5,1,5,3,8
2020-04-09,5,4,2,4,0,0
2020-04-10,7,2,2,4,0,3
2020-04-11,7,4,2,8,0,0
2020-04-12,6,4,3,12,3,5
2020-04-13,4,4,4,4,0,3
2020-04-14,5,2,1,0,5,6
2020-04-15,3,4,3,7,0,5
2020-04-16,4,1,7,4,0,3
2020-04-17,5,2,2,11,3,9
2020-04-18,5,2,3,6,3,7
2020-04-19,3,1,3,4,0,0
2020-04-20,2,2,1,4,3,3
2020-04-21,3,2,3,3,3,6
2020-04-22,3,3,2,4,0,0
2020-04-23,3,3,1,7,0,0
2020-04-24,3,2,0,4,5,3
2020-04-25,3,2,3,4,0,3
