date,State,wuhan virus lab,wuhan lab corona virus,virus lab in wuhan,wuhan bio lab,wuhan virology lab,wuhan p4 lab,wuhan level 4 lab,avg
1/27/2020,California,0,54,0,37,33,55,0,25.57142857
1/27/2020,Colorado,0,0,0,0,0,0,0,0
1/27/2020,Connecticut,0,0,0,0,0,0,0,0
1/27/2020,Delaware,0,0,0,0,0,0,0,0
1/27/2020,District of Columbia,0,0,0,0,0,0,0,0
1/27/2020,Florida,13,100,42,35,0,0,0,27.14285714
1/27/2020,Georgia,25,0,0,0,0,0,0,3.571428571
1/27/2020,Hawaii,0,0,0,0,0,0,0,0
1/27/2020,Idaho,0,0,0,0,0,0,0,0
1/27/2020,Illinois,0,0,0,0,100,0,0,14.28571429
1/27/2020,Indiana,51,0,0,0,0,0,0,7.285714286
1/27/2020,Iowa,0,0,0,0,0,0,0,0
1/27/2020,Kansas,0,0,0,0,0,0,0,0
1/27/2020,Kentucky,0,0,0,0,0,0,0,0
1/27/2020,Louisiana,0,0,0,0,0,0,0,0
1/27/2020,Maine,0,0,0,0,0,0,0,0
1/27/2020,Maryland,0,0,0,0,0,0,0,0
1/27/2020,Massachusetts,38,0,0,100,0,0,0,19.71428571
1/27/2020,Michigan,31,0,100,83,0,0,0,30.57142857
1/27/2020,Minnesota,0,0,0,0,0,0,0,0
1/27/2020,Mississippi,0,0,0,0,0,0,0,0
1/27/2020,Missouri,0,0,0,0,0,0,0,0
1/27/2020,Montana,0,0,0,0,0,0,0,0
1/27/2020,Nebraska,0,0,0,0,0,0,0,0
1/27/2020,Nevada,100,0,0,0,0,0,0,14.28571429
1/27/2020,New Hampshire,0,0,0,0,0,0,0,0
1/27/2020,New Jersey,0,0,0,81,0,0,0,11.57142857
1/27/2020,New Mexico,0,0,0,0,0,0,0,0
1/27/2020,New York,0,0,0,0,0,100,0,14.28571429
1/27/2020,North Carolina,0,0,0,0,0,0,0,0
1/27/2020,North Dakota,0,0,0,0,0,0,0,0
1/27/2020,Ohio,25,0,0,0,0,0,0,3.571428571
1/27/2020,Oklahoma,0,0,0,0,0,0,0,0
1/27/2020,Oregon,0,0,0,0,0,0,0,0
1/27/2020,Pennsylvania,23,0,0,0,0,0,0,3.285714286
1/27/2020,Rhode Island,0,0,0,0,0,0,0,0
1/27/2020,South Carolina,0,0,0,0,0,0,0,0
1/27/2020,South Dakota,0,0,0,0,0,0,0,0
1/27/2020,Tennessee,47,0,0,0,0,0,0,6.714285714
1/27/2020,Texas,0,0,0,26,47,0,100,24.71428571
1/27/2020,Utah,0,0,0,0,0,0,0,0
1/27/2020,Vermont,0,0,0,0,0,0,0,0
1/27/2020,Virginia,0,0,0,0,0,0,0,0
1/27/2020,Washington,39,0,0,0,0,0,0,5.571428571
1/27/2020,West Virginia,0,0,0,0,0,0,0,0
1/27/2020,Wisconsin,0,0,0,0,0,0,0,0
1/27/2020,Wyoming,0,0,0,0,0,0,0,0
